finger,timestamp_ms,sensor_0,sensor_1,sensor_2,sensor_3
0,6890,-8.264105796813965,-5.501683235168457,-1.6462551355361938,-3.828998565673828
0,6892,-15.064040184020996,-8.499018669128418,-2.254693031311035,-5.145676612854004
0,6894,-0.9378479719161987,3.1088554859161377,-2.0399010181427,2.201537609100342
0,6896,15.934915542602539,9.791435241699219,2.881542205810547,7.364923000335693
0,6898,11.941770553588867,6.202675819396973,4.724979400634766,2.9961206912994385
0,6901,7.083829402923584,1.6073901653289795,2.390179395675659,0.4289110600948334
0,6902,8.68038272857666,1.52882719039917,0.9344184994697571,1.1587319374084473
0,6905,2.2011401653289795,1.5412492752075195,1.157381534576416,1.3574426174163818
0,6906,-7.987950325012207,-3.920811176300049,-0.21874232590198517,-2.012282133102417
0,6909,-17.113094329833984,-10.868395805358887,-6.533709526062012,-8.822503089904785
0,6910,-14.66218090057373,-6.697421550750732,-4.840414047241211,-4.760420799255371
0,6913,-2.7507476806640625,2.4280388355255127,0.6301323771476746,3.8292033672332764
0,6914,2.265958070755005,3.6517722606658936,0.5004581212997437,1.9388904571533203
0,6917,8.370001792907715,4.213266849517822,2.9819772243499756,2.264955520629883
0,6918,10.06916618347168,2.369391679763794,2.135446548461914,2.2244601249694824
0,6921,4.557900428771973,0.21999362111091614,-1.1997008323669434,-1.1001956462860107
0,6922,3.7768630981445312,1.6067824363708496,1.7957545518875122,1.7249791622161865
0,6925,2.4673590660095215,1.7239131927490234,3.300724983215332,2.7465484142303467
0,6926,-3.2163708209991455,-1.5324710607528687,-1.6058310270309448,-1.8488054275512695
0,6928,-9.496284484863281,-4.787871360778809,-4.167100429534912,-5.558224678039551
0,6931,-11.795863151550293,-5.803022861480713,-2.6476237773895264,-3.879479169845581
0,6932,-4.548924446105957,-2.547856330871582,-0.3061691224575043,1.159754753112793
0,6935,6.903994560241699,5.503720283508301,2.8365230560302734,4.666293144226074
0,6936,6.3631720542907715,4.223684787750244,0.6846654415130615,1.204336404800415
0,6939,2.276658296585083,-1.0629551410675049,-0.5484936237335205,-2.0403852462768555
0,6940,1.5382288694381714,0.4160756766796112,1.2875186204910278,1.820928692817688
0,6943,3.555532217025757,2.787532329559326,1.2978918552398682,2.882646083831787
0,6944,5.317249298095703,3.0745699405670166,2.1181869506835938,0.326102077960968
0,6947,-4.57003927230835,-2.4158148765563965,-1.5315488576889038,-2.7705917358398438
0,6948,-7.145097732543945,-4.659442901611328,-2.3251755237579346,-2.3019142150878906
0,6951,-3.884300470352173,-3.4683310985565186,-1.2956055402755737,-0.9534916281700134
0,6952,-4.221842288970947,-1.2618778944015503,-2.401203155517578,-1.427072525024414
0,6955,4.413895606994629,3.5279805660247803,2.219618558883667,2.399580717086792
0,6956,5.5357985496521,1.5198354721069336,2.1324920654296875,2.796229124069214
0,6959,1.0324456691741943,1.5279946327209473,-1.1940772533416748,-1.6379597187042236
0,6960,-0.564238429069519,0.8534502387046814,-0.6991716027259827,-1.1037863492965698
0,6963,-0.08755702525377274,-1.4610669612884521,0.29432857036590576,1.9734320640563965
0,6964,5.982181549072266,3.410773754119873,2.439579486846924,1.6509389877319336
0,6967,-0.9574114084243774,-0.9718518853187561,0.5189451575279236,-1.0367891788482666
0,6968,-7.765121936798096,-4.824215412139893,-2.13081431388855,-2.596320390701294
0,6970,-1.9306715726852417,0.14874249696731567,-0.5148107409477234,-1.8254339694976807
0,6973,-0.7770825028419495,-0.6214206218719482,-0.471383661031723,0.7064342498779297
0,6974,1.654475450515747,0.39089733362197876,0.557174026966095,3.1503052711486816
0,6977,4.459962368011475,3.286306142807007,1.8167957067489624,2.0119974613189697
0,6978,-1.180420160293579,0.2823732793331146,0.007126499433070421,-2.306145191192627
0,6981,-2.1877944469451904,-3.2132394313812256,-1.3295032978057861,-3.8612163066864014
